,movie_title,soup
521,Despicable Me 2,color pierrecoffin mirandacosgrove animation comedy family sci-fi stevecarell stevecoogan dating minion overprotectivefather undercoverspy womanagent english usa pg
522,Independence Day,color rolandemmerich adambaldwin action adventure sci-fi willsmith marymcdonnell alien area51 military spacecraft spaceship english usa pg-13
523,The Lost World: Jurassic Park,color stevenspielberg richardschiff action adventure sci-fi arianarichards vanessaleechester capture dinosaur island jurassic jurassicpark english usa pg-13
524,Madagascar,color ericdarnell cedrictheentertainer adventure animation comedy family jadapinkettsmith andyrichter escape jungle lemur madagascar zoo english usa pg
525,Children of Men,color alfonsocuarón dannyhuston drama sci-fi thriller charliehunnam ritadavies chaos england longtake survival violence english usa r
526,X-Men,color bryansinger tylermane action adventure sci-fi hughjackman brucedavison firstpart mutant professor superhero superheroteam english usa pg-13
527,Wanted,color timurbekmambetov morganfreeman action crime fantasy thriller angelinajoliepitt common assassin bobbleheaddoll femmefatale rejuvenation strongfemalelead english usa r
528,The Rock,color michaelbay michaelbiehn action adventure thriller nicolascage bokeemwoodbine alcatraz fbi general hostage rocket english usa r
529,Ice Age: The Meltdown,color carlossaldanha rayromano action adventure animation comedy family fantasy denisleary jayleno flood mammoth noopeningcredits squirrel valley english usa pg
530,50 First Dates,color petersegal peterdante comedy romance adamsandler allencovert dream hawaii hawaiianshirt shorttermmemoryloss veterinarian english usa pg-13
531,Hairspray,color adamshankman elijahkelley comedy drama family music musical romance jerrystiller pauldooley audition bestfriend dance friend tvdanceshow english usa pg
532,Exorcist: The Beginning,color rennyharlin alanford horror mystery thriller jamesd'arcy izabellascorupco archeologist church excavation faith relic english usa r
533,Inspector Gadget,color davidkellogg reneauberjonois action adventure comedy family sci-fi matthewbroderick ruperteverett actorplayingmultipleroles claw gadget inspector police english usa pg
534,Now You See Me,color louisleterrier common crime mystery thriller morganfreeman michaelkelly bank fbi heist interpol magician english usa pg-13
535,Grown Ups,color dennisdugan adamsandler comedy stevebuscemi salmahayek basketball coach daughter highschool highschoolbasketball english usa pg-13
536,The Terminal,color stevenspielberg chimcbride comedy drama tomhanks barryshabakahenley airport constructionsite fishoutofwater flightattendant manwithoutacountry english usa pg-13
538,Hotel for Dogs,color thorfreudenthal kevindillon comedy family doncheadle yvettenicolebrown abandonedhotel dog fosterhome overalls playingwithadog english usa pg
539,Vertical Limit,color martincampbell scottglenn action adventure drama thriller nicholaslea benmendelsohn death diehardscenario k2 rescue urination english usa pg-13
540,Charlie Wilson's War,color mikenichols tomhanks biography comedy drama history philipseymourhoffman judtylor afghanistan armsdealer basedontruestory cia texas english usa r
541,Shark Tale,color bibobergeron martinscorsese adventure animation comedy family robertdeniro angelinajoliepitt anchor fish mobster shark vegetarian english usa pg
542,Dreamgirls,color billcondon jenniferhudson drama music musical lorettadevine anikanonirose 1960s fire popchart singer trio english usa pg-13
544,Be Cool,color f.garygray christinamilian comedy crime music dwaynejohnson debimazar concert mobster russian sequel widow english usa pg-13
545,Munich,color stevenspielberg moritzbleibtreu drama history thriller ayeletzurer mathieuamalric arab blackseptember israel jew municholympics english france r
546,Tears of the Sun,color antoinefuqua tomskerritt action drama thriller war brucewillis colehauser dictator doctor jungle rebel refugee english usa r
547,Killers,color robertluketic lisaannwalter action comedy romance thriller tomselleck catherineo'hara hiredkiller marriage neighbor ontherun storeclerk english usa pg-13
548,The Man from U.N.C.L.E.,color guyritchie elizabethdebicki action adventure comedy henrycavill christianberkel boxofficeflop ciaagent criminalorganization kgbagent nuclearbomb english usa pg-13
549,Spanglish,color jamesl.brooks pazvega comedy drama romance adamsandler sarahsteele chef college housekeeper letter mexico english usa pg-13
550,Monster House,color gilkenan jonheder animation comedy family fantasy mystery stevebuscemi catherineo'hara babysitter halloween house neighbor suburb english usa pg
551,Bandits,color barrylevinson bríanf.o'byrne comedy crime drama romance brucewillis azuraskye bankmanager hypochondriac lovetriangle prison television english usa pg-13
552,First Knight,color jerryzucker bencross action adventure romance thriller juliaormond johngielgud battle king kingarthur knight marriage english usa pg-13
553,Anna and the King,color andytennant geoffreypalmer drama history romance bailing randalldukkim 1860s children king schoolteacher siam english usa pg-13
554,Immortals,color tarsemsingh danielsharman action drama fantasy romance henrycavill stevebyers burnedalive castration olympus torture torturedevice english usa r
555,Hostage,color florent-emiliosiri brucewillis action crime drama mystery thriller jimmybennett ransforddoherty california hostage hostagenegotiator organizedcrime police english usa r
556,Titan A.E.,color donbluth janeanegarofalo action adventure animation family sci-fi mattdamon nathanlane alien captain escape pilot scientist english usa pg
557,Hollywood Homicide,color ronshelton brucegreenwood action comedy crime thriller harrisonford lenaolin audition kissingwhilehavingsex machismo murder sex english usa pg-13
558,Soldier,color paulw.s.anderson seanpertwee action drama sci-fi connienielsen jasonscottlee crashsurvivor planet sergeant soldier survivor english uk r
560,Monkeybone,color henryselick bridgetfonda animation comedy fantasy brendanfraser meganmullally carnival coma death monkey nightmare english usa pg-13
561,Flight of the Phoenix,color johnmoore tonycurran action adventure drama thriller dennisquaid mirandaotto captain desert rescue stranded survivor english usa pg-13
562,Unbreakable,color m.nightshyamalan brucewillis drama mystery sci-fi thriller robinwright michaelkelly childwithgun comicbook invulnerability superhero traincrash english usa pg-13
563,Minions,color kylebalda jonhamm action animation comedy family sci-fi stevecarell stevecoogan antarctica minion queen supervillain villain english usa pg
564,Sucker Punch,color zacksnyder abbiecornish action fantasy jonhamm scottglenn alternatereality escape girlgang prostitution samurai english usa pg-13
565,Snake Eyes,color briandepalma mikestarr crime mystery thriller nicolascage johnheard assassination boxing casino conspiracy longtake english usa r
566,Sphere,color barrylevinson jamespickensjr. drama mystery sci-fi thriller petercoyote hueylewis manifestation ocean spacecraft spaceship sphere english usa pg-13
567,The Angry Birds Movie,color claykaytis joshgad action animation comedy family peterdinklage keegan-michaelkey butt downwardduck fish kingfisher pig english usa pg
568,Fool's Gold,color andytennant raywinstone action adventure comedy romance thriller matthewmcconaughey alexisdziena debt rapper treasure treasurehunter yacht english usa pg-13
569,Funny People,color juddapatow rza comedy drama adamsandler maudeapatow breasts comedian craigslist infidelity standupcomedian english usa r
570,The Kingdom,color peterberg francesfisher action drama thriller jennifergarner timmcgraw alqaeda bombmaking fbi saudiarabia stabbedinthecrotch english usa r
571,Talladega Nights: The Ballad of Ricky Bobby,color adammckay lesliebibb action comedy sport willferrell garycole carracing french friend nascar racing english usa pg-13
572,Dr. Dolittle 2,color stevecarr jeffreyjones comedy family fantasy raven-symoné kevinpollak bear doctor falseaccusation manwithglasses secondpart english usa pg
573,Braveheart,color melgibson patrickmcgoohan biography drama history war mhairicalvey jamesrobinson 14thcentury legend revolt scotland tyranny english usa r
574,Jarhead,color sammendes briangeraghty action drama war jakegyllenhaal jamesmorrison americanabroad gulfwar u.s.military u.s.soldier usmc english germany r
575,The Simpsons Movie,color davidsilverman yeardleysmith adventure animation comedy albertbrooks marciawallace alaska dome lake pig thesimpsons english usa pg-13
576,The Majestic,color frankdarabont halholbrook drama romance martinlandau jeffreydemunn amnesia california communist smalltown writer english usa pg
577,Driven,color rennyharlin estellawarren action drama sport sylvesterstallone cristiándelafuente carrace german racecar racecardriver rookie english usa pg-13
578,Two Brothers,color jean-jacquesannaud jean-claudedreyfus adventure drama family davidgant oanhnguyen circus deathofprotagonist jungle killingananimal tiger english france pg
579,The Village,color m.nightshyamalan judygreer drama mystery romance thriller brycedallashoward williamhurt creature pact plottwist village woods english usa pg-13
580,Doctor Dolittle,color bettythomas raven-symoné comedy family fantasy oliverplatt peterboyle boxofficehit doctor dog firstpart tiger english usa pg-13
581,Signs,color m.nightshyamalan merrittwever drama sci-fi thriller roryculkin cherryjones cropcircle faith farm glassofwater lossoffaith english usa pg-13
582,Shrek 2,color andrewadamson jennifersaunders adventure animation comedy family fantasy romance ruperteverett conradvernon dragqueen physicalappearance princess queen sequel english usa pg
583,Cars,color johnlasseter cheechmarin adventure animation comedy family sport johnratzenberger georgecarlin car desert route66 towtruck truck english usa g
584,Runaway Bride,color garrymarshall christophermeloni comedy romance juliaroberts hectorelizondo bride columnist journalist maryland wedding english usa pg
585,xXx,color robcohen eve action adventure thriller vindiesel leilaarcieri agent nsa nsaagent prague russian english usa pg-13
586,The SpongeBob Movie: Sponge Out of Water,color paultibbitt billywest adventure animation comedy family fantasy timconway eddiedeezen book magic pirate plankton timemachine english usa pg
587,Ransom,color ronhoward delroylindo crime thriller lilitaylor renerusso bounty fbi millionaire money ransom english usa r
588,Inglourious Basterds,color quentintarantino bradpitt adventure drama war michaelfassbender christophwaltz france german nazis revenge scalping english usa r
589,Hook,color stevenspielberg juliaroberts adventure comedy family fantasy robinwilliams bobhoskins 1990s caughtinanet children duel hero english usa pg
590,Hercules,color brettratner rufussewell action adventure dwaynejohnson ingridbolsøberdal army greekmythology hercules king mercenary english usa pg-13
591,Die Hard 2,color rennyharlin johnamos action thriller brucewillis franconero airport fuel plane police terrorist english usa r
592,S.W.A.T.,color clarkjohnson joshcharles action adventure crime thriller jeremyrenner llcoolj hostage police prison swatteam training english usa pg-13
594,Vanilla Sky,color cameroncrowe ivanamilicevic fantasy mystery romance sci-fi thriller tomcruise noahtaylor death dream love lynchian reality english usa r
595,Lady in the Water,color m.nightshyamalan freddyrodríguez drama fantasy mystery thriller brycedallashoward bobbalaban apartment bedtimestory eagle stuttering swimmingpool english usa pg-13
596,AVP: Alien vs. Predator,color paulw.s.anderson colinsalmon action horror sci-fi thriller sanaalathan raoulbova alien antarctica predator pyramid satellite english usa pg-13
597,Alvin and the Chipmunks: The Squeakquel,color bettythomas bridgitmendler animation comedy family fantasy music amypoehler jessemccartney adidas chipmunk hospital school wastecontainer english usa pg
598,We Were Soldiers,color randallwallace marcblucas action drama history war jonhamm chrisklein aircavalry battle major soldier vietnamese english usa r
599,Olympus Has Fallen,color antoinefuqua morganfreeman action thriller gerardbutler radhamitchell politicalthriller politics president speakerofthehouse u.s.president english usa r
600,Star Trek: Insurrection,color jonathanfrakes jonathanfrakes action adventure sci-fi thriller levarburton michaeldorn alien captain commander conspiracy planet english usa pg
601,Battle Los Angeles,color jonathanliebesman jimparrack action sci-fi noelfisher ramonrodriguez alien extraterrestrial invasion marine mission english usa pg-13
602,Big Fish,color timburton alisonlohman adventure drama fantasy stevebuscemi albertfinney dogsavedfromafire flashback growingup multiplenarrators travelingsalesman english usa pg-13
603,Wolf,color mikenichols petergerety drama horror romance thriller davidhydepierce ronrifkin blood publisher publishinghouse werewolf wolf english usa r
604,War Horse,blackandwhite stevenspielberg benedictcumberbatch drama war jeremyirvine eddiemarsan barbedwire british cavalry horse worldwarone english usa pg-13
605,The Monuments Men,color georgeclooney mattdamon drama war billmurray bobbalaban art artexpert nazistolenart soldier worldwartwo english usa pg-13
606,The Abyss,color jamescameron toddgraff adventure drama sci-fi thriller michaelbiehn maryelizabethmastrantonio alien estrangedcouple ocean submarine underwater english usa pg-13
607,Wall Street: Money Never Sleeps,color oliverstone austinpendleton drama franklangella johnbuffalomailer corporategreed crisis economy greed mentor english usa pg-13
608,Dracula Untold,color garyshore sarahgadon action drama fantasy horror war dominiccooper zachmcgowan deathofwife dracula tarantula turk vampire english usa pg-13
609,The Siege,color edwardzwick brucewillis action thriller denzelwashington markvalley abduction martiallaw military newyorkcity terrorist english usa r
610,Stardust,color matthewvaughn davidkelly adventure family fantasy romance henrycavill nathanielparker king magic onewordtitle pirate village english uk pg-13
611,Seven Years in Tibet,color jean-jacquesannaud mako adventure biography drama history war bradpitt victorwong austria dalailama himalaya mountain tibet english usa pg-13
612,The Dilemma,color ronhoward clinthoward comedy drama channingtatum chelcieross bestfriend friend investigation secret twowordtitle english usa pg-13
613,Bad Company,color joelschumacher brookesmith action adventure comedy thriller anthonyhopkins garcellebeauvais cia ciaagent terrorist twin twinbrother english usa pg-13
614,Doom,color andrzejbartkowiak bendaniels action adventure horror sci-fi dwaynejohnson dexterfletcher commandounit extrachromosome firstpersonshooter specialforces teleportation english uk r
615,I Spy,color bettythomas philllewis action adventure comedy thriller garycole tatetaylor boxer espionage spy stealth topsecret english usa pg-13
616,Underworld: Awakening,color månsmårlind stephenrea action fantasy horror theojames sandrineholt battle cryogenics detective scientist vampire english usa r
617,Rock of Ages,color adamshankman shanehartline comedy drama musical romance jamesmartinkelly celinabeach concert love musicindustry panties poledancer english usa pg-13
618,Hart's War,color gregoryhoblit colehauser drama war brucewillis rorycochrane colonel honor lieutenant pilot racism english usa r
619,Killer Elite,color garymckendry robertdeniro action crime thriller jasonstatham benmendelsohn australia death mentor revenge secretsociety english uk r
620,Rollerball,color johnmctiernan chrisklein action sci-fi sport llcoolj andrewbryniarski ball blood skating song year2005 english usa r
621,Ballistic: Ecks vs. Sever,color wychkaosayananda sandrineholt action crime sci-fi thriller talisasoto gregghenry bloodsplatter camerashotfrominsidehumanbody combat diehardscenario fbi english usa r
622,Hard Rain,color mikaelsalomon minniedriver action crime drama thriller morganfreeman randyquaid dam flood money police sheriff english usa r
623,Osmosis Jones,color bobbyfarrelly brandynorwood action adventure animation comedy crime family fantasy ronhoward davidhydepierce blood body egg virus whitebloodcell english usa pg
625,Blackhat,color michaelmann archiekao action crime drama mystery thriller chrishemsworth brandonmolale chinese computer cybercrime hacker onewordtitle english usa r
626,Sky Captain and the World of Tomorrow,color kerryconran laurenceolivier action adventure mystery sci-fi thriller angelinajoliepitt bailing captain pilot reporter robot scientist english usa pg
627,Basic Instinct 2,color michaelcaton-jones indiravarma crime mystery thriller charlotterampling neilmaskell drugs murder psychiatrist scotlandyard sex english uk r
628,Escape Plan,color mikaelhåfström 50cent action crime mystery sci-fi thriller sylvesterstallone mattgerald ciaagent escape muslim prison ship english usa r
629,The Legend of Hercules,color rennyharlin lukenewberry action adventure fantasy roxannemckee gaiaweiss ancientgreece forbiddenlove hercules king slavery english usa pg-13
630,The Sum of All Fears,color philaldenrobinson brucemcgill action drama thriller morganfreeman philipbakerhall analyst cia nuclearbomb nuclearweapons russia english usa pg-13
631,The Twilight Saga: Eclipse,color davidslade kristenstewart adventure drama fantasy romance robertpattinson annakendrick friendship graduation revenge vampire werewolf english usa pg-13
632,The Score,color frankoz marlonbrando crime drama thriller robertdeniro garyfarmer partner running scepter surveillance thief english usa r
633,Despicable Me,color pierrecoffin mirandacosgrove animation comedy family stevecarell jackmcbrayer girl minion moon pyramid whitepicketfence english usa pg
634,Money Train,color josephruben robertblake action comedy crime drama thriller vincentpastore aidaturturro barebreasts breast loanshark subway train english usa r
635,Ted 2,color sethmacfarlane morganfreeman comedy liamneeson sethmacfarlane baby fword fight lawyer marriage english usa r
636,Agora,color alejandroamenábar ashrafbarhom adventure drama history romance maxminghella rupertevans christian love philosophy prefect slave english spain r
637,Mystery Men,color kinkausher wesstudi action comedy fantasy sci-fi janeanegarofalo eddieizzard bowling rajah sphinx spleen superhero english usa pg-13
638,Hall Pass,color bobbyfarrelly larryjoecampbell comedy romance jennafischer stephenmerchant druggedfood femalefrontalnudity malefrontalnudity malenudity marriage english usa r
639,The Insider,color michaelmann riptorn biography drama thriller alpacino debimazar cbs cbsnews research tobacco whistleblower english usa r
641,Body of Lies,color ridleyscott simonmcburney action drama thriller leonardodicaprio michaelgaston cia jordan middleeast spy terrorist english usa r
643,Abraham Lincoln: Vampire Hunter,color timurbekmambetov dominiccooper action fantasy horror rufussewell benjaminwalker choppingdownatree hangingupsidedown shopkeeper vampire vampirehunter english usa r
644,Entrapment,color jonamiel kevinmcnally action crime romance thriller willpatton maurychaykin artthief insurance mask masterthief referencetoironmaiden english usa pg-13
646,The X Files,color robbowman mitchpileggi drama mystery sci-fi thriller martinlandau jeffreydemunn agent alien bomb fbi government english usa pg-13
647,The Last Legion,color douglefler nonsoanozie action adventure fantasy war colinfirth owenteale 5thcentury boy capri romanlegion soldier english uk pg-13
648,Saving Private Ryan,color stevenspielberg vindiesel action drama war tomhanks mattdamon army invasion killedinaction normandy soldier english usa r
649,Need for Speed,color scottwaugh dominiccooper action crime drama thriller ramimalek ramonrodriguez crosscountry customcar illegalstreetracing policeofficercrushed streetracing english usa pg-13
650,What Women Want,color nancymeyers lisaedelstein comedy fantasy romance judygreer lorettadevine advertising battleofthesexes exhusbandexwiferelationship pantyhose telepathy english usa pg-13
651,Ice Age,color chriswedge stephenroot adventure animation comedy family goranvisnjic denisleary baby ice iceage sleeping sloth english usa pg
652,Dreamcatcher,color lawrencekasdan michaelo'neill drama horror sci-fi thriller morganfreeman reecethompson alien friend maine military woods english usa r
653,Lincoln,color stevenspielberg halholbrook biography drama history war josephgordon-levitt brucemcgill culturalconflict politics president slavery u.s.president english usa pg-13
654,The Matrix,color lanawachowski marcuschong action sci-fi keanureeves gloriafoster artificialreality computer matrix questioningreality simulatedreality english usa r
655,Apollo 13,color ronhoward mikohughes adventure drama history tomhanks kathleenquinlan capekennedy newsfootage referencetochristophercolumbus rocket trappedinspace english usa pg
656,Total Recall,color paulverhoeven rachelticotin action sci-fi ronnycox marshallbell ambiguousending falsememory implantedmemory memory spacecolony english usa r
657,The Santa Clause 2,color michaellembeck aishatyler comedy family fantasy judgereinhold ericlloyd christmas magic santaclaus son toy english usa g
658,Les Misérables,color tomhooper eddieredmayne drama musical romance hughjackman annehathaway barricade innkeeper parole rebellion student english usa pg-13
659,You've Got Mail,color noraephron jeanstapleton comedy drama romance tomhanks davechappelle bookstore competingbusinesses instantmessaging newyorkcity shopowner english usa pg
660,Step Brothers,color adammckay adamscott comedy willferrell andreasavage dream friendship karaoke love slacker english usa r
661,The Mask of Zorro,color martincampbell tonyamendola action adventure comedy romance thriller western anthonyhopkins stuartwilson 19thcentury california revenge training zorro english usa pg-13
662,Due Date,color toddphillips rza comedy drama robertdowneyjr. mattwalsh actor aspiringactor birth misadventure suitcase english usa r
663,Unbroken,color angelinajoliepitt jacko'connell biography drama sport war finnwittrock alexrussell emaciation malenudity planecrash prisonerofwar torture english usa pg-13
664,Space Cowboys,blackandwhite clinteastwood courtneyb.vance action adventure thriller clinteastwood williamdevane nasa oldage satellite space spaceshuttle english usa pg-13
665,Cliffhanger,color rennyharlin leon action adventure thriller sylvesterstallone janineturner money mountain rockymountains snow suitcase english usa r
666,Broken Arrow,color johnwoo samanthamathis action crime thriller delroylindo bobgunton captain desert major parkranger utah english usa r
667,The Kid,color jonturteltaub lilytomlin comedy family fantasy brucewillis danielvonbargen alteringhistory cartoonontv childhood imageconsultant onetwocombo english usa pg
668,World Trade Center,color oliverstone jayhernandez drama history thriller nicolascage armandoriesco basedontruestory police rescue rubble trapped english usa pg-13
669,Mona Lisa Smile,color mikenewell kirstendunst drama juliaroberts marianseldes art college school student wellesleycollege english usa pg-13
670,The Dictator,color larrycharles aasifmandvi comedy romance sayedbadreya horatiosanz dictator hotel oil overalls sunglasses english usa r
671,Eyes Wide Shut,color stanleykubrick vinessashaw drama mystery thriller tomcruise sydneypollack doctor orgy party pianist sexualfantasy english uk r
672,Annie,color willgluck dorianmissick comedy drama family musical quvenzhanéwallis davidzayas billionaire businesstycoon mayoralcandidate penthouse referencetostartrek english usa pg
673,Focus,color glennficarra adrianmartinez comedy crime drama romance willsmith geraldmcraney conartist conman deception rivalry seduction english usa r
674,This Means War,color mcg abigailspencer action comedy romance tomhardy warrenchristie bestfriend cia ciaagent dating undercover english usa pg-13
675,Blade: Trinity,color davids.goyer natashalyonne action adventure fantasy horror sci-fi thriller ryanreynolds johnmichaelhiggins blade blood dracula vampirehunter vampireslayer english usa r
677,Primary Colors,color mikenichols adrianlester comedy drama mauratierney paulguilfoyle campaigning candidate election governor president english france r
678,Resident Evil: Retribution,color paulw.s.anderson boriskodjoe action horror sci-fi thriller millajovovich bingbingli corporation fight rescue umbrella zombie english germany r
679,Death Race,color paulw.s.anderson maxryan action sci-fi thriller jasonstatham joanallen armoredcar car murder prison warden english usa r
680,The Long Kiss Goodnight,color rennyharlin craigbierko action crime drama mystery thriller melinakanakaredes yvonnezima amnesia chase footchase strongfemalecharacter vomiting english usa r
681,Proof of Life,color taylorhackford alunarmstrong action drama thriller pamelareed michaelkitchen jungle pipeline prisoner ransom southamerica english usa r
682,Zathura: A Space Adventure,color jonfavreau joshhutcherson action adventure comedy family fantasy sci-fi kristenstewart jonahbobo 2000s coke meetingfutureself referencetospongebobsquarepants sony english usa pg
683,Fight Club,color davidfincher meatloaf drama bradpitt eugeniebondurant antiestablishment darkhumor fighting multiplepersonalitydisorder surpriseending english usa r
684,We Are Marshall,color mcg kimberlywilliams-paisley drama sport matthewmcconaughey briangeraghty coach football footballteam marshalluniversity university english usa pg
686,Hudson Hawk,color michaellehmann jamescoburn action adventure comedy brucewillis richarde.grant blackmail burglar criticallybashed leonardodavinci prison english usa r
687,Lucky Numbers,color noraephron michaelmoore comedy crime michaelrapaport richardschiff celebrity lottery murder snowmobile weatherman english france r
688,"I, Frankenstein",color stuartbeattie kevingrevioux action fantasy sci-fi thriller caitlinstasey mirandaotto army creature demon frankenstein gargoyle english australia pg-13
689,Oliver Twist,color romanpolanski barneyclark crime drama ianmcneice tonynoble boy characternameintitle orphan pickpocket workhouse english uk pg-13
690,Elektra,color robbowman cary-hiroyukitagawa action crime fantasy thriller jennifergarner goranvisnjic assassin battle heroine martialarts spinoff english canada pg-13
691,Sin City: A Dame to Kill For,blackandwhite frankmiller brucewillis action crime thriller josephgordon-levitt evagreen boxofficeflop femalefrontalnudity femalerearnudity jackpot rescue english usa r
692,Random Hearts,color sydneypollack kristinscottthomas drama mystery romance harrisonford billcobbs death planecrash police policesergeant politician english usa r
693,Everest,color baltasarkormákur martinhenderson adventure biography drama history sport thriller michaelkelly tomgoodman-hill blizzard mounteverest mountain mountainclimbing snow english uk pg-13
694,Perfume: The Story of a Murderer,color tomtykwer davidcalder crime drama fantasy michaelsmiley simonchandler 18thcentury perfume scent senseofsmell smell english germany r
695,Austin Powers in Goldmember,color jayroach joshzuckerman action comedy crime vernetroyer robertwagner fembot prison seductivefembot spy timetravel english usa pg-13
696,Astro Boy,color davidbowers charlizetheron action animation comedy family sci-fi nicolascage deebradleybaker betrayal futuristic gladiator robot scientist english hongkong pg
697,Jurassic Park,color stevenspielberg arianarichards adventure sci-fi thriller wayneknight bobpeck dinosaur jurassicpark survival themepark tyrannosaurusrex english usa pg-13
698,Wyatt Earp,color lawrencekasdan catherineo'hara adventure biography crime drama western dennisquaid isabellarossellini historicallyinaccurate namecalling penisslur vomiting wyattearp english usa pg-13
699,Clear and Present Danger,color phillipnoyce deanjones action crime drama thriller harrisonford raymondcruz cia colombia colombiandrugcartel drugs president english usa pg-13
700,Dragon Blade,color daniellee penglin action adventure drama history siwonchoi sung-junyoo childfugitive finalbattle martialart silkroad sword mandarin china r
701,Littleman,color keenenivorywayans brittanydaniel comedy crime chazzpalminteri johnwitherspoon diamond infant parody spoof sportsviolence english usa pg-13
702,U-571,color jonathanmostow thomaskretschmann action war matthewmcconaughey davidkeith battle historicallyinaccurate submarinemovie uboat worldwartwo english france pg-13
703,The American President,color robreiner samanthamathis comedy drama romance shawnawaldron wendiemalick lobbyist president senator statedinner widower english usa pg-13
704,The Love Guru,color marcoschnabel romanymalco comedy romance sport justintimberlake vernetroyer bloopersduringcredits bucketofpopcorn chastitybelt guru torontomapleleafs english usa pg-13
705,3000 Miles to Graceland,color demianlichtenstein bokeemwoodbine action comedy crime thriller jonlovitz ice-t casino elvisimpersonator gun heist rascal english usa r
706,The Hateful Eight,color quentintarantino jenniferjasonleigh crime drama mystery thriller western craigstark zoëbell blizzard bloodvomiting bountyhunter murder shotinthecrotch english usa r
707,Blades of Glory,color joshgordon amypoehler comedy sport willferrell jonheder competition fight ice jockstrap nintendogameboyadvance english usa pg-13
708,Hop,color timhill elizabethperkins adventure animation comedy family fantasy garycole chelseahandler drummer easter easterbunny piaggiovespagtv250 slacker english usa pg
709,300,color zacksnyder michaelfassbender action drama fantasy war gerardbutler vincentregan battle epic greece spartan warrior english usa r
710,Meet the Fockers,color jayroach blythedanner comedy romance robertdeniro teripolo barebutt defecation fatherinlawsoninlawrelationship nurse sexualinnuendointitle english usa pg-13
711,Marley & Me,color davidfrankel kathleenturner comedy drama family ericdane haleybennett boxofficehit dog dogmovie florida petnameintitle english usa pg
712,The Green Mile,color frankdarabont jeffreydemunn crime drama fantasy mystery tomhanks michaeljeter 1930s deathrowinmate healing prisonguard southernu.s. english usa r
714,Chicken Little,color markdindal fredwillard adventure animation comedy family sci-fi catherineo'hara amysedaris alieninvasion chicken fish friend panic english usa g
715,Gone Girl,color davidfincher selaward crime drama mystery thriller patrickfugit emilyratajkowski basedonnovel disappearance missingperson missingwife murdersuspect english usa r
716,The Bourne Identity,color dougliman joshhamilton action mystery thriller mattdamon nickynaudé amnesia assassin money politicalthriller threewordtitle english usa pg-13
717,GoldenEye,color martincampbell joedonbaker action adventure thriller izabellascorupco tchékykaryo agent cossack officialjamesbondseries russia russian english uk pg-13
718,The General's Daughter,color simonwest timothyhutton drama mystery thriller danielvonbargen clarencewilliamsiii armycid coverup military murder womaninmilitary english usa r
719,The Truman Show,color peterweir noahemmerich comedy drama sci-fi nataschamcelhone peterkrause controlledenvironment fictionalrealityshow hiddencamera innocencelost simulatedreality english usa pg
720,The Prince of Egypt,color brendachapman arianoellecurzon adventure animation biography drama family fantasy musical martinshort edenriegel ancientegypt hebrew nudity pharaoh titledirectedbyfemale english usa pg
721,Daddy Day Care,color stevecarr lisaedelstein comedy family anjelicahuston jeffgarlin bloopersduringcredits breakfastcereal departmentstoreride facepainting spongebobsquarepantsslippers english usa pg
722,2 Guns,color baltasarkormákur patrickfischler action comedy crime drama thriller denzelwashington fredward closeupofbreasts femalenudity fugitive money undercover english usa r
723,Cats & Dogs,color lawrenceguterman elizabethperkins action comedy family fantasy carolannsusi miriammargolyes cartoonontv cat dog scientist secretagent english usa pg
724,The Italian Job,color f.garygray charlizetheron action crime thriller jasonstatham jimmyshubert gold heist revenge trafficjam veniceitaly english usa pg-13
725,Two Weeks Notice,color marclawrence aliciawitt comedy romance dorianmissick danaivey developer divorce lawyer love newyorkcity english usa pg-13
726,Antz,color ericdarnell woodyallen adventure animation comedy family sylvesterstallone annebancroft ant friend princess soldier worker english usa pg
727,Couples Retreat,color peterbillingsley kristindavis comedy jonfavreau tashasmith couple island marriage tropical voyeurism english usa pg-13
728,Days of Thunder,color tonyscott robertduvall action drama sport tomcruise randyquaid driver hotshot racing stockcardriver team english usa pg-13
729,Cheaper by the Dozen 2,color adamshankman tomwelling adventure comedy family taylorlautner alysonstoner children competition rival secondpart vacation english usa pg
730,The Scorch Trials,color wesball lilitaylor action sci-fi thriller kihonglee rosasalazar desert disease escape resistance virus english usa pg-13
731,Eat Pray Love,color ryanmurphy juliaroberts drama romance jamesfranco billycrudup divorce emotionalbalance femaleprotagonist indonesia innerpeace english usa pg-13
732,The Family Man,color brettratner doncheadle comedy drama fantasy romance nicolascage ambervalletta bowling christmas paralleluniverse salesman unfaithfulness english usa pg-13
733,RED,color robertschwentke morganfreeman action comedy crime thriller brucewillis jaquelinefleming cia femaleassassin interrogation officecubicle spy english usa pg-13
734,Any Given Sunday,color oliverstone dennisquaid drama sport alpacino llcoolj breasts coach football inmediasres vomiting english usa r
735,The Horse Whisperer,color robertredford kristinscottthomas drama romance western scarlettjohansson jessalyngilsig grace groom horse montana westernu.s. english usa pg-13
736,Collateral,color michaelmann jadapinkettsmith crime drama thriller tomcruise debimazar citybynight contractkiller drivingatnight losangelescalifornia taxi english usa r
737,The Scorpion King,color chuckrussell rogerrees action adventure fantasy thriller dwaynejohnson bernardhill desert king showdown sorceress warrior english usa pg-13
738,Ladder 49,color jayrussell jayhernandez action drama thriller billyburke jacindabarrett deathofhusband fire firefighter funeral maincharacterdies english usa pg-13
